make_again,name,rating,slug,summary,tag
,The Best Meal Kit Delivery Services Available in America Right Now,,/expert-advice/every-meal-kit-delivery-service-in-america-article,Need someone to plan your meals and send you all of the ingredients? These online meal kit companies have got you covered.,article
,This Savory Dutch Baby is Make-Ahead and Full of Hope,,/recipes-menus/this-savory-dutch-baby-is-make-ahead-and-full-of-hope-article,"Which makes it the perfect breakfast to prep for Valentine's Day—or, rather, for the morning after.",article
,Weekly Meal Plan: December 3–7,,/recipes-menus/weekly-meal-plan-easy-hanukkah-friendly-recipes-article,"This Hanukkah-friendly plan features fish tacos, zucchini fritters, and chicken meatballs.",article
,5 Festive Meals That Make the Holidays Easier Than Ever,,/sponsored/5-festive-meals-that-make-the-holidays-easier-than-ever-article,"With this menu of delicious, easy-to-make meals, you get to actually enjoy the holidays.",article
100%,Crushed Potatoes with Oyster Bar Butter,4,/recipes/food/views/crushed-potatoes-with-spicy-herb-butter,"Make extra seasoned butter to eat with pasta, on crusty bread, or, as the name implies, with shellfish.",recipe
,A Red Hot Take on Green Cholula,,/expert-advice/green-cholula-is-the-best-hot-sauce-article,It's better than any trendy hot sauce your boyfriend is obsessing over.,article
100%,Pickled Mustard Seeds,4,/recipes/food/views/pickled-mustard-seeds,"Mustard seeds that have been plumped in a pickle brine can really make a dish. They provide texture and crunch, heat and sweetness.",recipe
83%,Grilled Lemon-Garlic Chicken and Potatoes,3.5,/recipes/food/views/grilled-lemon-garlic-chicken-with-leeks-and-potatoes,"Everything for this simple, Spanish-inspired dish gets tossed in the same lemon, garlic, and smoked paprika marinade, then cooked in a grill basket for an easier, faster way to grill dinner.",recipe
,"This Just Might Be the Easiest, Most Addictive Appetizer Ever",,/ingredients/how-to-turn-jarred-artichoke-hearts-into-an-addictive-appetizer-article,A spin in the oven gives marinated artichoke hearts a flavor boost you never knew they needed.,article
,How to Cut a Chicken in Half and Win the Crispy-Skin Game Every Time,,/expert-advice/how-to-cut-a-chicken-in-half-article,Sometimes spatchcocking just isn't enough.,article
,What Epicurious Editors Bought In March,,/expert-advice/the-best-kitchen-products-our-staff-bought-this-month-article,Rice cookers that change the weeknight dinner game. Milk frothers you can stash in your purse for cappuccinos anywhere and everywhere. Here's what's in our shopping cart this month.,article
,"One Plate, Two Forks: The Valentine's Day Dinner That Literally Brings the Two of You Closer",,/recipes-menus/a-romantic-valentines-day-steak-dinner-for-two-menu,"For a meal that's truly intimate, we've created a three-course menu for two that was designed to be eaten off of one shared plate. Get ready to cozy up over a simple, citrusy salad, decadent steak and crispy potatoes, and the world's most beautiful ice cream sundae.",menu
,This Spring Lamb Recipe Is a Gift—But Only If You Wrap It Right,,/recipes-menus/how-to-make-steam-roasted-spring-lamb-article,It took me two tries to get this herby and buttery-soft lamb to work. But I eventually clinched it.,article
,Dumpling Filling Isn't Just for Dumplings,,/expert-advice/dumpling-filling-isnt-just-for-dumplings-article,"9 ways to get potsticker flavor, no wonton wrappers required.",article
,This Easter Quiche Fits Everybody’s Taste (Except Your Friend Who Doesn’t Eat Eggs),,/recipes-menus/easter-quiche-with-toppings-for-brunch-article,"When you serve a plain and delicious quiche with a handful of toppings, your guests get to do Easter brunch exactly as they like.",article
,The 7 Kitchen Tools You Need to Replace Every Year,,/expert-advice/the-kitchen-tools-you-need-to-replace-every-year-article,It's time to take stock of your tools.,article
,Weekly Meal Plan: March 11–15,,/expert-advice/weekly-meal-plan-sunday-frittata-impromptu-pu-pu-and-a-super-easy-steak-night-article,"A Sunday frittata, impromptu Pu Pu, and a super-easy steak night.",article
,How Am I Really Supposed to Dispose of My Frying Oil?,,/expert-advice/how-to-properly-dispose-of-cooking-oil-and-grease-article,Beware the Fatberg.,article
50%,Sweet Potato–Tahini Dip with Za'atar,2.5,/recipes/food/views/sweet-potato-tahini-dip-with-zaatar,Since the base of this dip is so simple—it's mostly sweet potatoes and tahini—homemade za'atar (a Middle Eastern spice blend) really helps the flavors stand out.,recipe
,Oven-Roasted Tofu Is the Vegetarian Main We've Been Waiting For,,/ingredients/oven-roasted-tofu-is-the-vegetarian-main-we-need-article,"Instead of sautéeing neat squares of tofu, try tearing it into rough, craggy pieces and roasting until browned and crispy.",article
0%,"Gujarti Eggplant and Sweet Potato ""Lasagna"" with Kadi Sauce",0,/recipes/food/views/gujarti-eggplant-and-sweet-potato-lasagna-with-kadi-sauce,"This playful Indian take on veggie lasagna pairs chickpea-flour noodles with eggplant, sweet potatoes, and chile- and ginger-spiced tomato and yogurt sauces.",recipe
,This Soy Sauce is Better Than Anything You've Had from the Grocery Store,,/expert-advice/this-is-the-best-soy-sauce-article,It's imported from Japan—and available on Amazon.,article
,How to Turn Any Vegetable Into Rice,,/expert-advice/how-to-make-paleo-rice-substitute-from-any-vegetable-article,"Cauliflower isn't the only vegetable that can transform into a delicious, healthy grain replacement.",article
,7 Cleaning Tools You Didn't Know You Needed,,/ingredients/kitchen-cleaning-tools-article,Doing the dishes has never been this exciting.,article
,"Have Freezer Chicken Packets, Will Eat",,/expert-advice/these-make-ahead-chicken-packets-are-a-weeknight-savior-article,A stack of foil-wrapped packets in the freezer means your family will never go hungry while you try to decide what to cook again.,article
,The Case for the Cumin Seed,,/ingredients/the-case-for-the-cumin-seed-article,"The versatility of the cumin is practically unmatched in the spice world. But if you're buying the pre-ground stuff, you're only getting half the story.",article
,Weekly Meal Plan: September 10–15,,/expert-advice/weekly-meal-plan-low-fuss-chicken-and-a-picky-eater-friendly-dinner-salad-article,"Grilled tuna, low-fuss chicken, and a picky eater-friendly dinner salad.",article
,The Tool You Need for No-Stress Grilling,,/expert-advice/grill-basket-essential-tool-for-easy-grilling-article,"Whether you're grilling a big batch of burgers, a delicate whole fish, or a ton of cherry tomatoes, the grill basket's got your back. This simple, inexpensive tool will help you take on grilling's biggest challenges with none of the stress.",article
,Weekly Meal Plan: July 9–13,,/recipes-menus/weekly-meal-plan-make-ahead-meals-taco-night-for-summer-article,Make-ahead meals (and a taco night!) for summer.,article
,The 8 Best Affordable Knife Gifts,,/expert-advice/best-affordable-knife-gifts-article,The sharpest gift selection around.,article
,10 Types of Greens and Their Uses,,/ingredients/types-of-greens-and-their-uses-in-cooking-article,"Spinach, kale and beyond.",article
,Breakfast Snack Trays Are Your New Brunch Staple,,/expert-advice/breakfast-snack-trays-are-your-new-brunch-staple-article,It's the quickest way to feed all those hungry relatives staying at your house.,article
,The Cult Kitchen Tool That Basically Does Everything,,/expert-advice/what-is-spurtle-how-to-cook-with-it-article,"Originally used in Scotland for whisking porridge, the spurtle has turned into a hybrid tool for just about everything.",article
100%,Roasted Sweet Potato and Ginger Soup,4,/recipes/food/views/roasted-sweet-potato-and-ginger-soup,"There are some flavors that beg to be paired, and sweet potatoes and ginger are in that category. This smooth, puréed soup is rich and comforting, ideal for fall evenings.",recipe
,Small Plates Kids Cooking Camp: Day Five,,/holidays-events/small-plates-kids-cooking-camp-day-five-article,Put those homemade marshmallows to work with an end-of-week-one campfire cookout.,article
,"Watch Out Zester, We're Reaching for a New Microplane Tool",,/expert-advice/microplane-ginger-grater-article,Meet the ginger grater.,article
,"Beer and Food Pairings: 16 Menu Ideas, Plus Tips to Create Your Own",,/expert-advice/how-to-pair-beer-and-food-article,"Everything you need to know about matching meals with lager, ale, stout, and other beers.",article
,This Just Might Be the Easiest Way to Cook with Boiling Water,,/expert-advice/leuke-silicone-bag-boiling-vegetables-eggs-pasta-article,We didn't know it could get easier until we found this mesh bag.,article
,Meet the Little-Known Meat Tortillas of Mexico,,/recipes-menus/pacholas-meat-tortillas-of-mexico-article,"The flat, quick-fried meat patties are little-known, even in their home country.",article
,Weekly Meal Plan: August 20–24,,/recipes-menus/weekly-meal-plan-easy-black-beans-and-chicken-meatballs-article,"Two simple batch-cooking sessions help you coast through a week of chicken meatball pitas, beans and rice, and Greek-inspired shrimp pasta.",article
,Turn Leftovers Into Quesadillas for the Easiest Dinner Ever,,/expert-advice/turn-leftovers-into-kid-friendly-quesadillas-for-the-easiest-dinner-ever-article,"If you've got leftovers, tortillas, and cheese in your fridge, you're more than halfway to dinner.",article
,This Filipino Eggplant Omelet Is My New Favorite Dish,,/recipes-menus/this-egg-dipped-eggplant-is-my-new-favorite-meal-article,I want to eat it all the time.,article
,9 Things Shalane Flanagan and Elyse Kopecky Can't Cook—or Live—Without,,/expert-advice/shalane-flanagan-and-elyse-kopecky-article,The Olympian and nutrition coach share the time-saving kitchen gadgets that help keep them fueled,article
75%,Roasted Sweet Potato and Delicata Squash with Cranberry Agrodolce,3,/recipes/food/views/roasted-sweet-potato-and-delicata-squash-with-cranberry-agrodolce,"The sweet and sour cranberry sauce for this holiday-ready side does double duty: it looks gorgeous (and tastes great) drizzled over roasted delicata squash and sweet potatoes, but it’s also an excellent turkey condiment. Don’t worry—this recipe makes a good amount so you'll have plenty to serve on the side.",recipe
,How to Cook a Perfect Thanksgiving Dinner for One,,/recipes-menus/how-to-cook-thanksgiving-for-one-article,"A secret cut of turkey, a genius double-stuff sweet potato technique, and a personal-size dessert are all it takes.",article
,The Best Starter Recipes for the Instant Pot,,/expert-advice/the-best-starter-recipes-for-the-instant-pot-article,These dishes turn you into a believer.,article
100%,Cheesy Potato and Kale Gratin with Rye Croutons,3.5,/recipes/food/views/cheesy-potato-and-kale-gratin-with-rye-croutons,"There’s no need to reduce your cream or pre-cook the kale for this aromatic casserole; everything cooks together in cheesy, creamy harmony. Leaving the potatoes unpeeled bumps up nutrients and cuts the prep time, too.",recipe
,41 of Our Best Sweet Potato Recipes,,/ingredients/how-to-eat-sweet-potatoes-for-every-meal-even-dessert-gallery,Is there anything this magical tuber cannot do? Answer: Nope.,gallery
,The Best Dutch Ovens,,/expert-advice/best-dutch-oven-enameled-cast-iron-casserole-pot-article,We made our favorite beef stew in eight different Dutch ovens to find the best one.,article
,What is Chorizo? 10 Things You Need to Know About The Spicy Sausage,,/ingredients/what-is-chorizo-and-how-to-use-the-spicy-sausage-article,"Here's your guide to navigating the types of chorizo, learning how to cook with it, and enjoying spicy and delicious sausage.",article
,5 Top-Rated Picnic Sides From Our Archives,,/recipes-menus/packable-portable-picnic-side-dishes-to-take-everywhere-this-summer-article,"Whether you're going to the park, the beach, or your very own backyard, these five salads are ready to travel with you.",article
